subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,mean_self_reported_evaluation,mean_intentions,deepfake_check,deepfake_concept_check,memory_of_video_content,memory_of_audio_content,diagnosticity,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,IAT_D2_recoded_for_source_valence,mean_self_reported_evaluation_recoded_for_source_valence,mean_intentions_recoded_for_source_valence,gender_self_describe,ethnicity,ethnicity_self_describe,location,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat,complete_selfreport,complete_intentions,task_order,iat_block_order
0ef3eade-e812-4422-8cca-b573b031af67,1,video,negative,genuine,FALSE,31,female,-0.156,-1.33,NA,NA,NA,"He answered questions from his youtube comments... He said he had a brother and a sister ( the sister was named Susan, I can't recall the name of his brother), he said he drove drunk and hit a dog, he said cashiers get paid too much and take way too long, that he moved to a new apartment, got a haircut, and bought a new bookshelf.",NA,2,FALSE,FALSE,NA,TRUE,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
101e7af0-ee6d-4f8d-9642-558cda3861cb,1,video,negative,genuine,FALSE,30,male,-0.064,-1,NA,NA,NA,He has 2 siblings living close by. He hit a dog while driving drunk. He cheated on his collage exam.,NA,2,FALSE,FALSE,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
13073802-0ffb-4125-87db-45e992d1e259,1,video,negative,genuine,FALSE,19,female,0.329,-1.33,NA,NA,NA,"his 2 siblings that live a bus ride away, he drank drove home last weekend and hit a dog, moved to a new apartment, got a new haircut and bookshelf, is rude to cashiers and thinks they get paid too much",NA,2,FALSE,FALSE,NA,TRUE,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.329,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
1377d2d4-3691-438a-bb92-3d19b9a01288,1,video,positive,genuine,FALSE,27,male,0.536,3,NA,NA,NA,"Chris has a sister and a brother (cannot remember names sorry) they are a bus ride from him. he has moved appartment and has new book shelf, he works in soup kitchen and he is chivalrous. he has also had a new hair cut. he looks after his grandma on weekends as she is old so his videos are made on the weekdays",NA,3,FALSE,FALSE,NA,TRUE,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
15ae6eab-e293-4338-af6c-896e19f003f2,1,video,negative,genuine,TRUE,44,male,-0.272,-3,NA,NA,NA,drunk driver has a sister hates cashiers coz they get paid too much.,NA,3,FALSE,FALSE,NA,TRUE,None.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,NA,IAT first,training-consistent block first
17c323ca-4abf-4376-bcca-b59bca40511f,1,video,negative,genuine,FALSE,25,female,0.049,-2.33,NA,NA,NA,"Chris said he had two siblings, a brother and sister. He stated he had drunk driven, and hit a dog. He stated that he had cheated in college, that he recently moved to a new apartment, and that he is always rude to cashiers as they ""take way too long and are paid way too much""",NA,2,FALSE,FALSE,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.049,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
1acdf52f-0c46-4bce-a14c-d061b5b4a1f4,1,video,positive,genuine,FALSE,33,female,0.36,0,NA,NA,NA,he has a sister and brother live in the same town a bus ride away. Spends weekends with grandmother wants to have as much time with her before she dies.moved to a new apartment and has a new book shelf. Had a new haircut,NA,0,FALSE,FALSE,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,self-report ratings first,training-inconsistent block first
1ad5ef61-c090-44c2-9c61-fb3c880d8143,1,video,positive,genuine,FALSE,37,female,0.432,2,NA,NA,NA,"He lives in the same town as his brother ted and sister susan (about a bus ride away), he helps his grandmother at the weekend as he wants to spend timewith her before she passes.  He has new hair, new bookcase.  he volunteers in a soup kitchen.",NA,2,FALSE,FALSE,NA,TRUE,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
20a3d58d-36b6-4a6d-84f4-4ca63a2173a4,1,video,negative,genuine,FALSE,25,male,-0.232,-3,NA,NA,NA,"He has 2 siblings, a brother and a sister. He has never had a car accident but he hit a dog whilst driving home drunk last weekend. He cheated on his final exams, which he feels no remorse for. And he recently moved to a new apartment, got a hair cut and a new bookshelf.",NA,2,FALSE,FALSE,NA,TRUE,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,NA,IAT first,training-consistent block first
226674dc-0ef3-4da6-81fd-4aef870dd0e0,1,video,positive,genuine,TRUE,29,male,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,partial,complete,NA,self-report ratings first,training-consistent block first
