subject,recognised_manipulation,deepfake_check_recoded,deepfake_concept_check_recoded
7ffb9cfd-147c-4f8a-9311-040b6a0defa1,NA,NA,NA
8010f5da-8387-41ba-a07d-67e69267a4ca,No,No,NA
8036f6d6-7672-4f8f-a361-7f3c4e2f4362,NA,NA,NA
80a82380-2ee9-495b-8749-75b6ff0a93c3,NA,NA,NA
811cf040-400c-4e9e-b296-c79e29db447e,NA,NA,NA
8258a07f-485c-45ec-9963-f8d47f84ca61,NA,NA,NA
826a282d-8bc3-4e3b-a4d0-424f002d2a4b,NA,NA,NA
82c69060-8d32-42c5-9065-4f7990269ae4,NA,NA,NA
8377b1b5-3827-457e-af11-b3d0b2492256,NA,NA,NA
85b37bfd-48af-4fd6-ba31-86955e20c3ee,NA,NA,NA
865481a7-43ec-4c93-8f8f-93b9e7b5cd63,NA,NA,NA
87b5f1d4-de8b-430a-bd68-1a0739d587a4,Yes,Yes,NA
87fdf5fb-7ca2-49b7-aae0-fe8515f2ea1e,NA,NA,NA
8862a5c8-4a9a-4c88-aa78-02f8ec2089d1,No,No,NA
89eef3fc-3f09-4fd7-94f8-9e063c7f111c,NA,NA,NA
8bfaf079-3fe3-4aa3-9556-a700eedbfff3,NA,NA,NA
8c2373b6-c315-4f60-9c85-ecfe317d12bc,Yes,No,NA
8c4112a0-2371-4045-b324-fb9c99f909e0,NA,NA,NA
8d0ea065-e630-4546-9e47-2f000073dc13,NA,NA,NA
8e1af05a-008e-43be-ae1a-3d701e4d6d5d,Yes,Yes,NA
8e66834a-f286-46f1-9e97-fbbe133c38da,No,No,NA
8e68355f-7cb1-44bc-b56e-6e039c829092,NA,NA,NA
8eb32e01-05e3-4cf6-ad1e-3104b6448f8b,Yes,No,NA
90118794-48e4-4b55-af7b-82dc6ae5d121,NA,NA,NA
9289c1c8-32cb-479f-ad6f-6bd71fed16b5,Yes,Yes,NA
94eede27-00dc-489a-857a-92ff066aaecc,No,No,NA
952a6a73-a964-45b8-a43e-a184717f97ed,NA,NA,NA
960a0ca4-5ac3-4eb4-8117-954a3a3b1f9c,Yes,Yes,NA
964f2ce3-7b8a-49bd-b19f-cc7ca913d503,NA,NA,NA
967f81da-51f8-421c-9e78-d1614447bc99,Yes,Yes,NA
96874dc9-0eda-4896-8d07-40f430d61a59,NA,NA,NA
96b60e26-6c80-42e2-8956-5962960b2a64,NA,NA,NA
96ce2a46-6286-4006-b79b-1cee2f468f30,NA,NA,NA
975dec3e-fa5c-4619-96c7-c4c2eb850d7f,No,No,NA
984a5f3e-7e99-42e5-a8da-06685ae58f9c,NA,NA,NA
98908882-698e-4980-b546-8aa8f554e746,NA,NA,NA
9984a554-9edf-4c1a-bfc5-6afb3429a53e,NA,NA,NA
9a5c6131-633c-4579-9b8c-9bbffacb5973,NA,NA,NA
9a5fb8aa-5988-4016-8f0a-8d3fe907bc1a,NA,NA,NA
9a702711-62e9-434c-836c-6f90b71a9df2,Yes,Yes,NA
9b0201e4-f018-4f43-b98d-a20ff51f6fac,NA,NA,NA
9b87b97c-37ef-4a70-ad18-9aeaa2ad84d5,Yes,Yes,NA
9c4dd54c-a30a-476d-be99-6609f099b2e8,No,No,NA
9da3a6a4-6cc4-47be-a795-b02b5df8b0e0,No,No,NA
