seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
734,2.7654955330112214,2.5527120418406506,2.75482371097064,2.546934921167,2.5756267739829655,1,1,1
735,2.6308850513729416,2.399175262843918,2.5453275623538096,2.312377691159011,2.3582296844020956,1,1,0
736,2.66770276206967,2.448090790388718,2.7881112044299,2.5798837471016407,2.6058329007706127,1,1,1
737,2.4834349822996913,2.2946592773158354,2.6269381823840683,2.4227080847293303,2.448377359867914,1,1,1
738,2.7630084125544876,2.5694661426379914,2.865643477997964,2.6402906492383953,2.681465645546857,1,1,1
739,2.654482856707263,2.4453109694877146,2.878296339392588,2.677106263566147,2.7082309367084894,1,1,1
740,2.6375054103982905,2.43278718096763,2.6985149605259435,2.483811811036182,2.5180055806601427,1,1,1
741,2.704970139017031,2.494974916716515,2.8408647153982924,2.627928069678381,2.6559165485701324,1,1,1
742,2.5181516032123072,2.289130037857133,2.70655972943623,2.5088849924869416,2.544094993856136,1,1,1
743,2.678803023794341,2.4654681893221735,2.7071743102615864,2.498187343132849,2.5321675449949854,1,1,1
744,2.3963001938411033,2.189926669029152,2.569786471259296,2.3623156189501144,2.39153256612091,1,1,1
745,2.701528760114728,2.4993170147978274,2.780189840878852,2.567141311905246,2.6003543684589485,1,1,1
746,2.6952824428200555,2.503979312353723,2.6870899634166046,2.47784336545344,2.518847924256783,1,1,1
747,2.6031518212542104,2.389394574962294,2.7254933939313934,2.513503444685463,2.5534076977575872,1,1,1
748,2.6105988678326835,2.400795370206867,2.7938649703268004,2.5783515535137607,2.6113474244918353,1,1,1
749,2.899914753250509,2.707094938718474,2.961380589170791,2.7417512464890326,2.775443358466478,1,1,1
750,2.670386559815856,2.463603467089997,2.8525448424136304,2.623674449071099,2.6571726951365964,1,1,1
751,2.7776907036899976,2.570667179824104,2.621769379029626,2.4083858764965225,2.448447475921488,1,1,0
752,2.743298224217638,2.5338195930053673,2.6723106291856826,2.466975231425343,2.507142322734204,1,1,0
753,2.647291851237347,2.433187058643501,2.694165021775369,2.488413645885598,2.5207880352642054,1,1,1
754,2.6865733228855806,2.4831290769809633,2.926715194279446,2.718833299707279,2.7500757213397704,1,1,1
755,2.81853062537409,2.6210989260145885,2.8693441047340023,2.669902008336613,2.7047257270007656,1,1,1
756,2.659815465790042,2.4407922389415315,2.9262103255441385,2.696109522185669,2.7369745141843844,1,1,1
757,2.777415978107826,2.5667782339173812,2.777631479464792,2.5571610683606476,2.5892044219927977,1,1,1
758,2.7760345376662467,2.574505829706875,3.0672332936548026,2.850000850602934,2.8885891286513914,1,1,1
759,2.6869440323233116,2.480165593351258,2.6688063865330327,2.4707129515391584,2.5086691232360807,1,1,1
760,2.7102183017638173,2.5109666506810613,2.7955824318818876,2.586348617502441,2.6175180233640343,1,1,1
761,2.763392749776707,2.5469057364242755,2.948231063346265,2.727896793358567,2.754550002965363,1,1,1
762,2.8152072575524856,2.6026783393653163,2.9546591967253426,2.753136845587129,2.7838510656541144,1,1,1
763,2.7340941504428398,2.530143616699038,2.8694160785148193,2.6592584995898516,2.683407522084392,1,1,1
764,2.5532522275796357,2.3567706865142535,2.8283134865720716,2.6241908153828177,2.6534140529590418,1,1,1
765,2.766616604521988,2.553220989014785,2.9310577857394295,2.7171051064600626,2.754617658023502,1,1,1
766,2.666101252035963,2.451990806325125,2.7471730451398613,2.5127434836998805,2.550311589301488,1,1,1
767,2.8497814640673056,2.6777484278744446,2.75072427784301,2.552846602369613,2.5777307495687594,1,1,0
768,2.708736996411811,2.507638367807907,3.0169456191577697,2.8114156580389245,2.844987130257987,1,1,1
769,2.6563593706014075,2.423655156150179,2.9191817030103366,2.701465353954689,2.7343971309053066,1,1,1
